phase,mode,batch,query,type,runs,exec_min,exec_p25,exec_median,exec_p75,exec_max,plan_min,plan_p25,plan_median,plan_p75,plan_max,plan_shape,indexes_used,top_plan_rows,top_actual_rows,scan_plan_rows,scan_actual_rows,shared_hit_blocks,shared_read_blocks,exact_heap_blocks,lossy_heap_blocks,rows_removed_by_index_recheck,planning_shared_hit_blocks,jit_present,settings,detail_execution_ms
I-0,default,2,C2,jsonb,15,9.618,9.796,9.982,10.245,10.825,0.022,0.023,0.024,0.027,0.032,Seq Scan on T,-,50,3,50,3,981,0,None,None,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",12.105
I-0,default,2,C3,jsonb,15,10.286,10.79,11.175,12.165,16.498,0.021,0.023,0.025,0.027,0.031,Seq Scan on T,-,50,30,50,30,981,0,None,None,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",12.771
I-0,default,2,C3b,jsonb,15,9.934,10.617,11.054,12.365,17.76,0.022,0.023,0.028,0.031,0.058,Seq Scan on T,-,50,12,50,12,981,0,None,None,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",10.431
I-0,default,2,Q21,jsonb,15,10.416,10.68,11.115,11.905,19.454,0.02,0.022,0.023,0.025,0.043,Seq Scan on T,-,2500,30,2500,30,981,0,None,None,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",11.423
I-1,default,1,Q07,json,15,0.015,0.015,0.015,0.015,0.017,0.04,0.041,0.041,0.042,0.085,Index Scan using T_i1a_record_validity,T_i1a_record_validity,12,12,12,12,14,0,None,None,0,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",0.016
I-1,default,1,Q07,jsonb,15,0.014,0.015,0.015,0.015,0.017,0.04,0.04,0.04,0.041,0.045,Index Scan using T_i1a_record_validity,T_i1a_record_validity,12,12,12,12,14,0,None,None,0,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",0.016
I-1,default,1,Q08,json,15,0.105,0.105,0.11,0.111,0.116,0.042,0.042,0.044,0.044,0.062,Bitmap Heap Scan on T [Bitmap Index Scan using T_i1b_entity_type_code],T_i1b_entity_type_code,225,225,225,225,207,0,205,0,0,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",0.114
I-1,default,1,Q08,jsonb,15,0.104,0.105,0.109,0.11,0.129,0.041,0.041,0.043,0.043,0.044,Bitmap Heap Scan on T [Bitmap Index Scan using T_i1b_entity_type_code],T_i1b_entity_type_code,225,225,225,225,200,0,198,0,0,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",0.113
I-1,default,1,Q10,json,15,0.028,0.029,0.036,0.037,0.04,0.041,0.041,0.052,0.053,0.065,Bitmap Heap Scan on T [Bitmap Index Scan using T_i1c_status_code],T_i1c_status_code,30,30,30,30,32,0,30,0,0,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",0.03
I-1,default,1,Q10,jsonb,15,0.029,0.029,0.029,0.037,0.038,0.04,0.041,0.042,0.052,0.059,Bitmap Heap Scan on T [Bitmap Index Scan using T_i1c_status_code],T_i1c_status_code,30,30,30,30,32,0,30,0,0,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",0.031
I-1,default,1,Q11a,json,15,0.206,0.208,0.21,0.216,0.278,0.066,0.066,0.066,0.068,0.184,Bitmap Heap Scan on T [Bitmap Index Scan using T_i1d_latitude_degrees],T_i1d_latitude_degrees,406,422,406,422,365,0,362,0,0,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",0.223
I-1,default,1,Q11a,jsonb,15,0.202,0.203,0.21,0.213,0.345,0.065,0.066,0.066,0.067,0.112,Bitmap Heap Scan on T [Bitmap Index Scan using T_i1d_latitude_degrees],T_i1d_latitude_degrees,406,422,406,422,340,0,337,0,0,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",0.218
I-1,default,1,Q11b,json,15,164.168,175.327,184.045,194.592,227.105,0.084,0.098,0.116,0.121,0.131,Seq Scan on T,-,3086,3064,3086,3064,1250,0,None,None,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",173.127
I-1,default,1,Q11b,jsonb,15,18.353,20.021,21.574,22.948,25.059,0.075,0.101,0.114,0.133,0.183,Seq Scan on T,-,3086,3064,3086,3064,981,0,None,None,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",23.592
I-1,default,1,Q12a,json,15,0.016,0.016,0.016,0.017,0.019,0.052,0.053,0.053,0.054,0.059,Index Scan using T_i1e_event_timestamp_utc,T_i1e_event_timestamp_utc,1,13,1,13,15,0,None,None,0,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",0.017
I-1,default,1,Q12a,jsonb,15,0.016,0.016,0.017,0.017,0.019,0.052,0.052,0.053,0.054,0.059,Index Scan using T_i1e_event_timestamp_utc,T_i1e_event_timestamp_utc,1,13,1,13,15,0,None,None,0,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",0.017
I-1,default,1,Q12b,json,15,0.065,0.065,0.066,0.067,0.069,0.056,0.056,0.057,0.057,0.058,Bitmap Heap Scan on T [Bitmap Index Scan using T_i1e_event_timestamp_utc],T_i1e_event_timestamp_utc,88,108,88,108,105,0,102,0,0,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",0.071
